URL,Rule Type,Result Type,Result Condition,Result Condition Index,Rule Set,Impact,Message,HTML Element,DOM Element,Help,Help URL,WCAG Criteria,axe-scan Version
https://practicetestautomation.com/logged-in-successfully/,color-contrast-enhanced,incomplete,any,1,wcag2aaa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/">Home</a>,#menu-item-43 > a,Elements must meet enhanced color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast-enhanced?application=axe-puppeteer,1.4.6,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast-enhanced,incomplete,any,1,wcag2aaa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/practice/">Practice</a>,#menu-item-20 > a,Elements must meet enhanced color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast-enhanced?application=axe-puppeteer,1.4.6,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast-enhanced,incomplete,any,1,wcag2aaa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/courses/">Courses</a>,#menu-item-21 > a,Elements must meet enhanced color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast-enhanced?application=axe-puppeteer,1.4.6,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast-enhanced,incomplete,any,1,wcag2aaa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/blog/">Blog</a>,#menu-item-19 > a,Elements must meet enhanced color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast-enhanced?application=axe-puppeteer,1.4.6,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast-enhanced,incomplete,any,1,wcag2aaa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/contact/">Contact</a>,#menu-item-18 > a,Elements must meet enhanced color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast-enhanced?application=axe-puppeteer,1.4.6,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/">Home</a>,#menu-item-43 > a,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/practice/">Practice</a>,#menu-item-20 > a,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/courses/">Courses</a>,#menu-item-21 > a,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/blog/">Blog</a>,#menu-item-19 > a,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://practicetestautomation.com/logged-in-successfully/,color-contrast,incomplete,any,1,wcag2aa,serious,Element's background color could not be determined due to a pseudo element,<a href="https://practicetestautomation.com/contact/">Contact</a>,#menu-item-18 > a,Elements must meet minimum color contrast ratio thresholds,https://dequeuniversity.com/rules/axe/4.11/color-contrast?application=axe-puppeteer,1.4.3,2.0.0
https://practice.expandtesting.com/,identical-links-same-purpose,incomplete,all,1,wcag2aaa,minor,Check that links have the same purpose- or are intentionally ambiguous.,<a type="button" class="btn btn-outline-primary me-1" href="/inputs">Try it out</a>,.btn-outline-primary.me-1[href$="inputs"],Links with the same name must have a similar purpose,https://dequeuniversity.com/rules/axe/4.11/identical-links-same-purpose?application=axe-puppeteer,2.4.9,2.0.0
https://practice.expandtesting.com/,avoid-inline-spacing,violations,all,1,wcag21aa,serious,letter-spacing in the style attribute must not use !important- or be at 0.12em (current 0em),<div class="goog-rentries" style="animation-delay: 0s ...">,#aswift_1_host > .google-aiuf[data-google-ad-efd="true"] > .goog-rentries,Inline text spacing must be adjustable with custom stylesheets,https://dequeuniversity.com/rules/axe/4.11/avoid-inline-spacing?application=axe-puppeteer,,2.0.0
